sample,leaf_coverage_percent,annotation_mode,status,output_dir,input_components,output_polygons,output_points,error
024ce7509b4ca442,0.0,negative_point,ok,D:\Vipin\projects\leaf_coverage_detector\experiments\9.3.coatnet_2_rw_224_experimentation\runs\exp11_7\pigeon_pea\024ce7509b4ca442,,0,1,
02cebf51bc761238,0.0,negative_point,ok,D:\Vipin\projects\leaf_coverage_detector\experiments\9.3.coatnet_2_rw_224_experimentation\runs\exp11_7\pigeon_pea\02cebf51bc761238,,0,1,
02eabe4aae8c89c1,0.0,negative_point,ok,D:\Vipin\projects\leaf_coverage_detector\experiments\9.3.coatnet_2_rw_224_experimentation\runs\exp11_7\pigeon_pea\02eabe4aae8c89c1,,0,1,
02fece8e2dffc06a,0.0611,negative_point,ok,D:\Vipin\projects\leaf_coverage_detector\experiments\9.3.coatnet_2_rw_224_experimentation\runs\exp11_7\pigeon_pea\02fece8e2dffc06a,,0,1,
03d86c3be6275712,5.7574,ignore,ignored_manual_review,D:\Vipin\projects\leaf_coverage_detector\experiments\9.3.coatnet_2_rw_224_experimentation\runs\exp11_7\pigeon_pea\03d86c3be6275712,,0,0,
03e38c8e43306709,9.3656,ignore,ignored_manual_review,D:\Vipin\projects\leaf_coverage_detector\experiments\9.3.coatnet_2_rw_224_experimentation\runs\exp11_7\pigeon_pea\03e38c8e43306709,,0,0,
06e90e5036c5566f,87.1767,ignore,ignored_manual_review,D:\Vipin\projects\leaf_coverage_detector\experiments\9.3.coatnet_2_rw_224_experimentation\runs\exp11_7\pigeon_pea\06e90e5036c5566f,,0,0,
07abccdbfec75421,33.6974,ignore,ignored_manual_review,D:\Vipin\projects\leaf_coverage_detector\experiments\9.3.coatnet_2_rw_224_experimentation\runs\exp11_7\pigeon_pea\07abccdbfec75421,,0,0,
09c2c519488a4dc0,0.0,negative_point,ok,D:\Vipin\projects\leaf_coverage_detector\experiments\9.3.coatnet_2_rw_224_experimentation\runs\exp11_7\pigeon_pea\09c2c519488a4dc0,,0,1,
0a69666a77337a24,0.0,negative_point,ok,D:\Vipin\projects\leaf_coverage_detector\experiments\9.3.coatnet_2_rw_224_experimentation\runs\exp11_7\pigeon_pea\0a69666a77337a24,,0,1,
0bcd260d9d4d08b4,0.0,negative_point,ok,D:\Vipin\projects\leaf_coverage_detector\experiments\9.3.coatnet_2_rw_224_experimentation\runs\exp11_7\pigeon_pea\0bcd260d9d4d08b4,,0,1,
0d52988f15adfef7,76.3905,ignore,ignored_manual_review,D:\Vipin\projects\leaf_coverage_detector\experiments\9.3.coatnet_2_rw_224_experimentation\runs\exp11_7\pigeon_pea\0d52988f15adfef7,,0,0,
0dbb3a5b5ec345ca,0.0,negative_point,ok,D:\Vipin\projects\leaf_coverage_detector\experiments\9.3.coatnet_2_rw_224_experimentation\runs\exp11_7\pigeon_pea\0dbb3a5b5ec345ca,,0,1,
0dd53ac677e30b64,0.0,negative_point,ok,D:\Vipin\projects\leaf_coverage_detector\experiments\9.3.coatnet_2_rw_224_experimentation\runs\exp11_7\pigeon_pea\0dd53ac677e30b64,,0,1,
0e0f28c365611347,9.8293,ignore,ignored_manual_review,D:\Vipin\projects\leaf_coverage_detector\experiments\9.3.coatnet_2_rw_224_experimentation\runs\exp11_7\pigeon_pea\0e0f28c365611347,,0,0,
0e3b93413af3d65c,0.0019,negative_point,ok,D:\Vipin\projects\leaf_coverage_detector\experiments\9.3.coatnet_2_rw_224_experimentation\runs\exp11_7\pigeon_pea\0e3b93413af3d65c,,0,1,
0eb516f037e49ffa,0.0,negative_point,ok,D:\Vipin\projects\leaf_coverage_detector\experiments\9.3.coatnet_2_rw_224_experimentation\runs\exp11_7\pigeon_pea\0eb516f037e49ffa,,0,1,
0ec23963129c0bed,0.0004,negative_point,ok,D:\Vipin\projects\leaf_coverage_detector\experiments\9.3.coatnet_2_rw_224_experimentation\runs\exp11_7\pigeon_pea\0ec23963129c0bed,,0,1,
