sample,leaf_coverage_percent,annotation_mode,status,output_dir,input_components,output_polygons,output_points,error
s3_Potato__00a3eeff7178f46e,3.4815,ignore,ignored_manual_review,D:\Vipin\projects\leaf_coverage_detector\experiments\9.3.coatnet_2_rw_224_experimentation\runs\exp11_6\potato\s3_Potato__00a3eeff7178f46e,,0,0,
s3_Potato__03c87ba978448657,77.7191,ignore,ignored_manual_review,D:\Vipin\projects\leaf_coverage_detector\experiments\9.3.coatnet_2_rw_224_experimentation\runs\exp11_6\potato\s3_Potato__03c87ba978448657,,0,0,
s3_Potato__04f214cffaef636b,0.6388,negative_point,ok,D:\Vipin\projects\leaf_coverage_detector\experiments\9.3.coatnet_2_rw_224_experimentation\runs\exp11_6\potato\s3_Potato__04f214cffaef636b,,0,1,
s3_Potato__0a82acfc74963a3a,0.0,negative_point,ok,D:\Vipin\projects\leaf_coverage_detector\experiments\9.3.coatnet_2_rw_224_experimentation\runs\exp11_6\potato\s3_Potato__0a82acfc74963a3a,,0,1,
s3_Potato__0b45e59d51654fbe,0.0,negative_point,ok,D:\Vipin\projects\leaf_coverage_detector\experiments\9.3.coatnet_2_rw_224_experimentation\runs\exp11_6\potato\s3_Potato__0b45e59d51654fbe,,0,1,
s3_Potato__0c606c2143df0e89,0.0,negative_point,ok,D:\Vipin\projects\leaf_coverage_detector\experiments\9.3.coatnet_2_rw_224_experimentation\runs\exp11_6\potato\s3_Potato__0c606c2143df0e89,,0,1,
s3_Potato__0dab6f9ea6a2c9be,4.5045,ignore,ignored_manual_review,D:\Vipin\projects\leaf_coverage_detector\experiments\9.3.coatnet_2_rw_224_experimentation\runs\exp11_6\potato\s3_Potato__0dab6f9ea6a2c9be,,0,0,
s3_Potato__0e14b3b973d386a1,0.897,negative_point,ok,D:\Vipin\projects\leaf_coverage_detector\experiments\9.3.coatnet_2_rw_224_experimentation\runs\exp11_6\potato\s3_Potato__0e14b3b973d386a1,,0,1,
s3_Potato__0e945b6b0fe62112,1.8855,ignore,ignored_manual_review,D:\Vipin\projects\leaf_coverage_detector\experiments\9.3.coatnet_2_rw_224_experimentation\runs\exp11_6\potato\s3_Potato__0e945b6b0fe62112,,0,0,
s3_Potato__0e97cb6b083396f1,34.442,ignore,ignored_manual_review,D:\Vipin\projects\leaf_coverage_detector\experiments\9.3.coatnet_2_rw_224_experimentation\runs\exp11_6\potato\s3_Potato__0e97cb6b083396f1,,0,0,
s3_Potato__0f64ee375ce37376,30.0115,ignore,ignored_manual_review,D:\Vipin\projects\leaf_coverage_detector\experiments\9.3.coatnet_2_rw_224_experimentation\runs\exp11_6\potato\s3_Potato__0f64ee375ce37376,,0,0,
s3_Potato__0f857cc20664b4af,23.5117,ignore,ignored_manual_review,D:\Vipin\projects\leaf_coverage_detector\experiments\9.3.coatnet_2_rw_224_experimentation\runs\exp11_6\potato\s3_Potato__0f857cc20664b4af,,0,0,
s3_Potato__0faaf0ebf3edc277,58.5001,ignore,ignored_manual_review,D:\Vipin\projects\leaf_coverage_detector\experiments\9.3.coatnet_2_rw_224_experimentation\runs\exp11_6\potato\s3_Potato__0faaf0ebf3edc277,,0,0,
s3_Potato__0fade5af12f35320,37.9412,ignore,ignored_manual_review,D:\Vipin\projects\leaf_coverage_detector\experiments\9.3.coatnet_2_rw_224_experimentation\runs\exp11_6\potato\s3_Potato__0fade5af12f35320,,0,0,
s3_Potato__1ab5318b3228528a,28.947,ignore,ignored_manual_review,D:\Vipin\projects\leaf_coverage_detector\experiments\9.3.coatnet_2_rw_224_experimentation\runs\exp11_6\potato\s3_Potato__1ab5318b3228528a,,0,0,
